name,sku,price,payment_object,vat_type,tax_identity
Бризер Tion 3S Special,3S1,37990,commodity,vat20,2466276880
Бризер Tion 3S Standard,3S2,38990,commodity,vat20,2466276880
Бризер Tion 3S Plus,3S3,46990,commodity,vat20,2466276880
Бризер Tion 3S Smart,3S4,47990,commodity,vat20,2466276880
Комплект фильтров для Бризера Tion 3S,3S_filter,4790,commodity,vat20,2466276880
Фильтр первичной очистки G4 для Бризера Tion 3S,3S_filter_G4,690,commodity,vat20,2466276880
Фильтр HEPA H11 для Бризера Tion 3S,3S_filter_H11,1990,commodity,vat20,2466276880
Фильтр адсорбционно-каталитический АК-XL для Бризера Tion 3S,3S_filter_AKXL,2190,commodity,vat20,2466276880
Базовая станция Tion MagicAir,MAGICAIR,10900,commodity,vat20,2466276880
Модуль СО2+ системы Tion MagicAir,MAGICAIR_CO2,8900,commodity,vat20,2466276880
ИК-модуль системы Tion MagicAir,MAGICAIR_IK,4900,commodity,vat20,2466276880
Бризер Tion O2 Base,O21,23990,commodity,vat20,2466276880
Бризер Tion O2 Standard,O22,25990,commodity,vat20,2466276880
Бризер Tion O2 МАС,O23,26990,commodity,vat20,2466276880
Бризер Tion O2 Next,O24,34990,commodity,vat20,2466276880
Бризер Tion O2 ТОР,O25,35990,commodity,vat20,2466276880
Комплект фильтров для Бризера Tion O2,O2_filter,5170,commodity,vat20,2466276880
Фильтр базовый F7 для Бризера Tion O2,O2_filter_F7,1590,commodity,vat20,2466276880
Фильтр HEPA H11 для Бризера Tion O2,O2_filter_H11,1990,commodity,vat20,2466276880
Фильтр адсорбционно-каталитический АК для Бризера Tion O2,O2_filter_AK,1590,commodity,vat20,2466276880
Фильтр адсорбционно-каталитический АК-XXL для Бризера Tion O2,O2_filter_AKXXL,3490,commodity,vat20,2466276880
Бризер Tion Lite,Lite1,19900,commodity,vat20,2466276880
Бризер Tion Lite Eco,Lite2,18900,commodity,vat20,2466276880
Фильтр G4 для Бризера Tion Lite,Lite_G4,690,commodity,vat20,2466276880
Фильтр HEPA E11 для Бризера Tion Lite,Lite_E11,1590,commodity,vat20,2466276880
Бризер Ballu Air Master 2 BMAC-300 Base,BMAC1,29990,commodity,vat20,2466276880
Бризер Ballu Air Master 2 BMAC-300 Warm,BMAC2,33490,commodity,vat20,2466276880
Бризер Ballu Air Master 2 BMAC-300 Warm CO2,BMAC3,39990,commodity,vat20,2466276880
Бризер Ballu Air Master 2 BMAC-300 Warm WiFi,BMAC4,37490,commodity,vat20,2466276880
Бризер Ballu Air Master 2 BMAC-300 Warm CO2 WiFi,BMAC5,43990,commodity,vat20,2466276880
Рекуператор VAKIO Base,Vakio1,16900,commodity,vat20,2466276880
Рекуператор VAKIO Window,Vakio2,18900,commodity,vat20,2466276880
Рекуператор VAKIO Lumi,Vakio3,17900,commodity,vat20,2466276880
Рекуператор VAKIO Kiv,Vakio4,4900,commodity,vat20,2466276880
Рекуператор VAKIO Base Plus,Vakio5,19900,commodity,vat20,2466276880
Рекуператор VAKIO Window Plus,Vakio6,21900,commodity,vat20,2466276880
Рекуператор VAKIO Lumi Plus,Vakio7,20900,commodity,vat20,2466276880
Комплект монтажный канальный VAKIO,Vakio8,3900,commodity,vat20,2466276880
Фильтр класса F6 для VAKIO,Vakio_filter_F6,350,commodity,vat20,2466276880
Летний фильтр класса F6 для VAKIO Base,Vakio_filter_leto,1000,commodity,vat20,2466276880
Приточный клапан КИВ-125 комплект 0.5 м,kiv1,1800,commodity,vat20,2466276880
Приточный клапан КИВ-125 комплект 1 м,kiv2,2000,commodity,vat20,2466276880
Приточный клапан КИВ-125 Оголовок,kiv3,1000,commodity,vat20,2466276880
Кондиционер Kentatsu Bravo KSGB26HZAN1/ KSRB26HZAN1,KSGB26HZAN1,26300,commodity,vat20,2466276880
Кондиционер Kentatsu Bravo KSGB35HZAN1/ KSRB35HZAN1,KSGB35HZAN1,29000,commodity,vat20,2466276880
Кондиционер Kentatsu Bravo KSGB53HZAN1/ KSR53HZAN1,KSGB53HZAN1,52700,commodity,vat20,2466276880
Кондиционер Kentatsu Bravo KSGB70HZAN1/ KSRB70HZAN1,KSGB70HZAN1,66100,commodity,vat20,2466276880
Кондиционер Kentatsu Bravo KSGB21HFAN1/ KSRB21HFAN1,KSGB21HFAN1,18000,commodity,vat20,2466276880
Кондиционер Kentatsu Bravo KSGB26HFAN1/ KSRB26HFAN1,KSGB26HFAN1,19600,commodity,vat20,2466276880
Кондиционер Kentatsu Bravo KSGB35HFAN1/ KSRB35HFAN1,KSGB35HFAN1,25900,commodity,vat20,2466276880
Кондиционер Kentatsu Bravo KSGB53HFAN1/ KSRB53HFAN1,KSGB53HFAN1,35900,commodity,vat20,2466276880
Кондиционер Kentatsu Bravo KSGB70HFAN1/ KSRB70HFAN1,KSGB70HFAN1,47500,commodity,vat20,2466276880
Кондиционер Kentatsu Bravo (до -40 С) KSGB21HFAN1/ KSRB21HFAN1/-40,KSGB21HFAN140,29200,commodity,vat20,2466276880
Кондиционер Kentatsu Bravo (до -40 С) KSGB26HFAN1/ KSRB26HFAN1/-40,KSGB26HFAN140,30900,commodity,vat20,2466276880
Кондиционер Kentatsu Bravo (до -40 С) KSGB35HFAN1/ KSRB35HFAN1/-40,KSGB35HFAN140,37600,commodity,vat20,2466276880
Кондиционер Kentatsu Bravo (до -40 С) KSGB53HFAN1/ KSRB53HFAN1/-40,KSGB53HFAN140,55000,commodity,vat20,2466276880
Кондиционер Kentatsu Bravo (до -40 С) KSGB70HFAN1/ KSRB70HFAN1/-40,KSGB70HFAN140,68700,commodity,vat20,2466276880
Кондиционер Kentatsu Quantum KSGQ21HFAN1/ KSRQ21HFAN1,KSGQ21HFAN1,18000,commodity,vat20,2466276880
Кондиционер Kentatsu Quantum KSGQ26HFAN1/ KSRQ26HFAN1,KSGQ26HFAN1,19600,commodity,vat20,2466276880
Кондиционер Kentatsu Quantum KSGQ35HFAN1/ KSRQ35HFAN1,KSGQ35HFAN1,25900,commodity,vat20,2466276880
Кондиционер Kentatsu Quantum KSGQ50HFAN1/ KSRQ50HFAN1,KSGQ50HFAN1,35900,commodity,vat20,2466276880
Кондиционер Kentatsu Quantum KSGQ61HFAN1/ KSRQ61HFAN1,KSGQ61HFAN1,43900,commodity,vat20,2466276880
Кондиционер Kentatsu Quantum KSGQ80HFAN1/ KSRQ80HFAN1,KSGQ80HFAN1,64600,commodity,vat20,2466276880
Кондиционер Kentatsu Quantum KSGQ95HFAN1/ KSRQ95HFAN1,KSGQ95HFAN1,89000,commodity,vat20,2466276880
Кондиционер Kentatsu Naomi KSGN105HFAN1/ KSRN105HFAN1,KSGN105HFAN1,92700,commodity,vat20,2466276880
Кондиционер Kentatsu Naomi (до -40 С) KSGN105HFAN1/ KSRN105HFAN1/-40,KSGN105HFAN140,123000,commodity,vat20,2466276880
Кондиционер Kentatsu Titan Genesis KSGX26HFAN1/ KSRX26HFAN1,KSGX26HFAN1,33300,commodity,vat20,2466276880
Кондиционер Kentatsu Titan Genesis KSGX35HFAN1/ KSRX35HFAN1,KSGX35HFAN1,38200,commodity,vat20,2466276880
Кондиционер Kentatsu Titan Genesis KSGX53HFAN1/ KSRX53HFAN1,KSGX53HFAN1,49900,commodity,vat20,2466276880
Кондиционер Kentatsu Titan Genesis KSGX70HFAN1/ KSRX70HFAN1,KSGX70HFAN1,65700,commodity,vat20,2466276880
Кондиционер Kentatsu Turin KSGU21HZAN1/KSRU21HZAN1,KSGU21HZAN1,25650,commodity,vat20,2466276880
Кондиционер Kentatsu Turin KSGU26HZAN1/KSRU26HZAN1,KSGU26HZAN1,26300,commodity,vat20,2466276880
Кондиционер Kentatsu Turin KSGU35HZAN1/KSRU35HZAN1,KSGU35HZAN1,29000,commodity,vat20,2466276880
Кондиционер Kentatsu Turin KSGU50HZAN1/KSRU50HZAN1,KSGU50HZAN1,52700,commodity,vat20,2466276880
Кондиционер Kentatsu Turin KSGU60HZAN1/KSRU60HZAN1,KSGU60HZAN1,59000,commodity,vat20,2466276880
Кондиционер Midea Ultimate Comfort MSMTBU-09HRFN1/ MOBA01-09HFN1,Ultimate09,41800,commodity,vat20,2466276880
Кондиционер Midea Ultimate Comfort MSMTBU-12HRFN1/ MOBA01-12HFN1,Ultimate12,48800,commodity,vat20,2466276880
Кондиционер Midea Ultimate Comfort MSMTD-18HRFN1/ MOB01-18HFN1,Ultimate18,59300,commodity,vat20,2466276880
Кондиционер Midea Ultimate Comfort MSMTD-24HRFN1/ MOCA01-24HFN1,Ultimate24,68300,commodity,vat20,2466276880
Кондиционер Midea Mission  MSMBA-07HRN1(W)/ MOAB01-07HN1,Mission07,19550,commodity,vat20,2466276880
Кондиционер Midea Mission MSMBA-09HRN1(W)/ MOAB01-09HN1,Mission09,20600,commodity,vat20,2466276880
Кондиционер Midea Mission MSMBB-12HRN1(W)/ MOBA02-12HN1,Mission12,24050,commodity,vat20,2466276880
Кондиционер Midea Blanc MSMAAU-07HRDN1/ MOBA03-07HFN1,Blanc_inv07,28000,commodity,vat20,2466276880
Кондиционер Midea Blanc MSMAAU-09HRDN1/ MOBA03-09HFN1,Blanc_inv09,30200,commodity,vat20,2466276880
Кондиционер Midea Blanc MSMABU-12HRDN1/ MOBA03-12HFN1,Blanc_inv12,31200,commodity,vat20,2466276880
Кондиционер Midea Blanc MSMACU-18HRFN1/ MOB02-19HFN1,Blanc_inv18,54800,commodity,vat20,2466276880
Кондиционер Midea Blanc MSMADU-24HRFN1/ MOCA02-24HFN1,Blanc_inv24,67200,commodity,vat20,2466276880
Кондиционер Midea Blanc MSMA1A-07HRN1/MOAB02-07HN1,Blanc07,18000,commodity,vat20,2466276880
Кондиционер Midea Blanc MSMA1A-09HRN1/MOAB02-09HN1,Blanc09,19600,commodity,vat20,2466276880
Кондиционер Midea Blanc MSMA1B-12HRN1/MOBA01-12HN1,Blanc12,25900,commodity,vat20,2466276880
Кондиционер Midea Blanc MSMA1C-17HRN1/MOBA01-18HN1,Blanc18,35900,commodity,vat20,2466276880
Кондиционер Midea Blanc MSMA1D-24HRN1/MOCA02-24HN1,Blanc24,47500,commodity,vat20,2466276880
Кондиционер Hisense NEO Premium Classic A AS-07HR4SYDTG035,NEO_Pr_Cl07,17890,commodity,vat20,2466276880
Кондиционер Hisense NEO Premium Classic A AS-10HR4SYDTG5,NEO_Pr_Cl10,19690,commodity,vat20,2466276880
Кондиционер Hisense NEO Premium Classic A AS-13HR4SVDTG5,NEO_Pr_Cl13,25290,commodity,vat20,2466276880
Кондиционер Hisense NEO Premium Classic A AS-18HR4SMATG015,NEO_Pr_Cl18,37790,commodity,vat20,2466276880
