item_id,name,sku,size,price
4028460820781,Шлепанцы муж.,010629,40.5,1990
4028460820798,Шлепанцы муж.,010629,42,1990
4028460820804,Шлепанцы муж.,010629,43,1990
4028460820811,Шлепанцы муж.,010629,44.5,1990
4048188417155,Сланцы муж.,010689,39,2990
4048188417162,Сланцы муж.,010689,40.5,2990
4048188417179,Сланцы муж.,010689,42,2990
4048188417186,Сланцы муж.,010689,43,2990
4048188417193,Сланцы муж.,010689,44.5,2990
4048188417209,Сланцы муж.,010689,46,2990
098097058721,Баскетбольный мяч муж.,218977,7,990
4003428127706,Плавательная шапочка взр.,802315,NS,690
4003428127713,Плавательная шапочка взр.,802316,NS,690
4055017107200,Джемпер с кап-м жен.,A98418,48,3690
4056558633333,Игровая футболка муж.,AA0353,42,4690
4056558633395,Игровая футболка муж.,AA0353,46,4690
4056558633364,Игровая футболка муж.,AA0353,50,4690
4056558633326,Игровая футболка муж.,AA0353,54,4690
4056558633388,Игровая футболка муж.,AA0353,58,4690
4056559280772,Игровые шорты муж.,AA0358,42,2390
4056559280796,Игровые шорты муж.,AA0358,46,2390
4056559280833,Игровые шорты муж.,AA0358,50,2390
4056559280826,Игровые шорты муж.,AA0358,54,2390
4056559280789,Игровые шорты муж.,AA0358,58,2390
4056558702954,Спортивные шорты (трикотаж) муж.,AA0371,42,2390
4056558702992,Спортивные шорты (трикотаж) муж.,AA0371,50,2390
4056558702961,Спортивные шорты (трикотаж) муж.,AA0371,54,2390
4056559294045,Гетры муж.,AA0374,4042,990
4056559294083,Гетры муж.,AA0374,4345,990
4056559072469,Игровые гетры взр.,AA0378,3739,990
4056559072483,Игровые гетры взр.,AA0378,4042,990
4056559075477,Игровые гетры взр.,AA0378,4345,990
4056558894895,Футболка спортивная муж.,AA0387,42,4690
4056558894932,Футболка спортивная муж.,AA0387,46,4690
4056558894857,Футболка спортивная муж.,AA0387,50,4690
4056558894925,Футболка спортивная муж.,AA0387,54,4690
4056558894956,Футболка спортивная муж.,AA0387,58,4690
4055017293163,Куртка муж.,AA1392,42,3990
4055017293149,Куртка муж.,AA1392,46,3990
4055014633306,Шорты  муж.,AA1620,46,2390
4055014633351,Шорты  муж.,AA1620,50,2390
4055014633412,Шорты  муж.,AA1620,54,2390
4055014633344,Шорты  муж.,AA1620,58,2390
4055016908600,Брюки муж.,AA1665,46,2990
4055016908594,Брюки муж.,AA1665,50,2990
4055016908532,Брюки муж.,AA1665,58,2990
4055017047773,Шапка-бини для бега взр.,AA2128,58,1390
4055017105329,Носки взр.,AA2311,3538,790
4055017105336,Носки взр.,AA2311,3942,790
4055017105251,Носки взр.,AA2311,4346,790
4055017085430,Носки взр.,AA2312,2730,790
4055017085492,Носки взр.,AA2312,3134,790
4055017085478,Носки взр.,AA2312,3538,790
4055017085423,Носки взр.,AA2312,3942,790
4055017085508,Носки взр.,AA2312,4346,790
4055017056546,Носки взр.,AA2313,2730,790
4055017056522,Носки взр.,AA2313,3538,790
4055017056591,Носки взр.,AA2313,3942,790
4055017056577,Носки взр.,AA2313,4346,790
4055017304418,Носки взр.,AA2320,2730,790
4055017304449,Носки взр.,AA2320,3538,790
4055017304425,Носки взр.,AA2320,3942,790
4055017304401,Носки взр.,AA2320,4346,790
4055017081500,Носки взр.,AA2321,2730,790
4055017081494,Носки взр.,AA2321,3134,790
4055017081470,Носки взр.,AA2321,3538,790
4055017081531,Носки взр.,AA2321,3942,790
4055017081487,Носки взр.,AA2321,4346,790
4055017115656,Носки взр.,AA2322,2730,790
4055017115618,Носки взр.,AA2322,3134,790
4055017115595,Носки взр.,AA2322,3538,790
4055017115649,Носки взр.,AA2322,3942,790
4055017115625,Носки взр.,AA2322,4346,790
4055017062271,Носки взр.,AA2323,3538,290
4055017061175,Носки взр.,AA2323,3942,290
4055017061151,Носки взр.,AA2323,4346,290
4055017066033,Носки взр.,AA2324,3134,290
